"Unit - Thousand Barrels per day (kb/d)"
"Product - Crude oil"
"BALANCE - Exports"

Time,"Jul2021","Aug2021","Sep2021","Oct2021","Nov2021","Dec2021","Jan2022","Feb2022","Mar2022","Apr2022","May2022","Jun2022","Jul2022","Aug2022","Sep2022"
"Costa Rica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Croatia",10.7681,9.3323,8.4071,9.3323,9.6434,15.0753,9.3323,5.2986,2.3929,0,0,0,0,0,0
"Cuba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Czech Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denmark",0,7.8455,15.9683,8.0832,20.3903,14.9777,40.6539,0,35.899,8.352700000000001,6.8945,8.106999999999999,7.8455,6.419,0
"Dominican Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Egypt (Arab Rep.)",142.6239,173.7716,131.406,96.4877,118.338,94.14579999999999,77.0497,101.1214,77.2839,93.654,60.6561,75.02,58.5484,57.6116,29.04
"El Salvador",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Equatorial Guinea",83,84,84,84,65,105,116,68,87,122,66,86,0,0,0
"Estonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eswatini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"France",0,0.4755,0,1.1887,0,0,0,0,0,0,0,0,0,0,0
"Gabon",151,211,0,0,0,0,0,197,0,0,0,0,0,0,0
"Gambia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Georgia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany",0,0,0,0,0,0,0,0,0,23.3383,0,0,0,0,0
"Greece",0,6.6568,0,0,0,0,0,0,0,0,0,0,0,0,0
"Grenada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Guyana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haiti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Honduras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hong Kong China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hungary",9.747400000000001,0,2.7023,0,9.3353,5.9435,9.0342,0,2.3774,5.4047,2.8529,0,0,0,0
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"India",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Indonesia",106.4194,52.6452,42.5333,49.6774,52.6333,43.2903,13.871,39.8214,55.3871,25.2,43.4839,74.09999999999999,33.0323,40.9032,45.1333
"Iran (Islamic Rep.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iraq",3344,3419,3551,3528,3681,3683,3620,3718,3607,3834,3715,3768,3705,3643,3752
"Ireland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Italy",7.1323,7.1323,6.8787,6.419,0,0,7.1323,15.7929,7.1323,13.7573,21.3968,7.37,6.6568,14.0268,7.37
"Jamaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Japan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kazakhstan",1279.5271,1395.3074,1368.3633,1323.0339,1179.937,1263.8361,1373.4352,1539.8036,1527.0165,1553.1047,1371.0577,1480.633,1111.6813,1240.0619,0
"Korea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kuwait",1776,1726,0,1727,1785,1813,1825,1997,1890,1840,1880,1860,1920,1954,2000
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Libya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lithuania",0,1.6484,0,0,1.7033,0,0.9419,0,1.4129,0,0,1.7033,0,0,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Macedonia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malaysia",210.811,226.2243,214.9115,182.5971,154.513,152.5706,167.6021,165.3218,305.7564,221.8324,207.1613,221.8324,195.3935,0,0
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mauritius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mexico",1250.2848,1174.6829,1052.9273,1000.6558,1098.6213,1107.4019,883.9245,989.1593,964.9945,1083.6357,1024.43,1093.708,1122.8552,969.7494,0
"Moldova",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Myanmar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Netherlands",8.0832,8.321,0.2457,0.2377,0,5.2303,0,0,0.2377,0,2.1397,1.9653,0,0,0
"New Zealand",10.6984,5.7058,23.584,3.8039,7.6157,6.6568,20.2081,5.7907,8.0832,14.4943,20.4458,8.843999999999999,3.5661,13.3135,42.5003
"Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Niger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nigeria",1252,890,1359,1118,1245,1062,1218,1158,1134,1100,1145,1009,942,902,870
"Norway",1457.1203,1713.4061,1613.5387,1558.8739,1663.409,1697.2397,1514.6539,1532.96,1699.1416,1513.061,1636.3777,1287.2933,1515.6048,1593.1087,1536.645
"Oman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Papua New Guinea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peru",1.0968,8.645200000000001,36.4,15.3548,27.3667,3.2258,16.3226,16.1429,0,14.2333,12.3226,58.9,23.5484,19.871,24.9333
"Philippines",0,0,0,0,6.7333,0,0,5.1786,0,0,0,4.8667,0,0,0
"Poland",2.3774,4.7548,2.4567,4.7548,4.9133,4.7548,4.9926,2.6321,4.7548,2.4567,4.9926,2.4567,2.3774,4.7548,2.4567
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romania",0.7263,0.2421,0.7505,0.7263,0.7505,0.7263,0.4842,1.0721,0.7263,1.501,0.7263,0.7505,0.7263,0.7263,0
"Russian Federation",4389.871,4603.4323,4756.88,4650.8903,4291.5833,4627.1613,0,0,0,0,0,0,0,0,0
"Saudi Arabia",6327,6450,6516,6833,6949,6937,6996,7307,7235,7382,7050,7196,7384,7601,7721
"Singapore",27.3923,31.2457,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South Africa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sudan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suriname",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Syria (Arab Rep.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tajikistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thailand",9.7395,18.6669,0,0,0,19.2753,9.7395,21.3405,18.4634,0,19.2753,18.0313,0,18.8697,0
"Trinidad/Tobago",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunisia",33.9848,25.7987,15.38,26.0468,35.374,21.3335,53.0858,28.2882,5.4574,66.3903,16.1242,5.383,0,0,0
"Turkey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ukraine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Arab Emirates",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"United Kingdom",552.9877,581.279,590.337,680.6552,645.8577,601.2494,640.0013,494.5796,747.2229,481.7523,607.4306,471.1887,518.5152000000001,397.98,355.971
"United States of America",2699.7419,3075.7419,2666.5,2900.2258,3110.3667,3480.0323,3347.0645,3309.0357,3318.8065,3239.2667,3442.1935,3571.8,3795.6452,3652.7419,4002.3
"Uruguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Venezuela",0,0,0,0,0,0,386,548,494,483,271,399,442,481,474
"Vietnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yemen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
